file-name,time_till_loop,total_elapsed_time,minCost,correctness
F-n135-k7,0.002000,0.003101,2124.291062,VALID
Antwerp2,0.475000,0.588734,330796.446313,VALID
Antwerp1,0.173000,0.181568,517467.262968,VALID
Leuven1,0.083000,0.085898,211409.686281,VALID
Leuven2,0.287000,0.428654,134934.165480,VALID
P-n101-k4,0.002000,0.002448,1653.924109,VALID
tai385,0.008000,0.008527,32182.519516,VALID
Golden_19,0.007000,0.007475,1762.435899,VALID
Golden_18,0.006000,0.006466,1403.533982,VALID
Golden_20,0.008000,0.008911,2399.606196,VALID
E-n101-k14,0.002000,0.002531,1694.772151,VALID
E-n76-k8,0.001000,0.001990,1568.047615,VALID
